TimeStamp (HH:MM:SS),Presense Time (Seconds),Scrolling (current Pixel),Title Name
22:40:04,0.0,0,About Me
22:40:06,2.0133609771728516,0,About Me
22:40:08,4.028768301010132,750,About Me
22:40:10,6.0331995487213135,750,About Me
22:40:12,8.039457321166992,1158,About Me
22:40:14,10.044566869735718,121,About Me
22:40:16,12.048757791519165,317,About Me
22:40:18,14.053768634796143,954,About Me
22:40:20,16.061357021331787,1064,About Me
22:40:22,18.066959857940674,1158,About Me
